0:0:0:0:0:0:0:1 - - [29/Apr/2023:21:19:47 +0900] "GET /controller/resources/images/item-cart-01.jpg HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [29/Apr/2023:21:19:47 +0900] "GET /controller/resources/vendor/sweetalert/sweetalert.min.js HTTP/1.1" 200 40481
0:0:0:0:0:0:0:1 - - [29/Apr/2023:21:19:47 +0900] "GET /controller/resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 124968
0:0:0:0:0:0:0:1 - - [29/Apr/2023:21:19:47 +0900] "GET /controller/resources/images/item-cart-02.jpg HTTP/1.1" 200 2077
0:0:0:0:0:0:0:1 - - [29/Apr/2023:21:19:47 +0900] "GET /controller/resources/images/item-cart-03.jpg HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [29/Apr/2023:21:19:47 +0900] "GET /controller/resources/images/banner-01.jpg HTTP/1.1" 200 72420
0:0:0:0:0:0:0:1 - - [29/Apr/2023:21:19:47 +0900] "GET /controller/resources/images/banner-03.jpg HTTP/1.1" 200 44731
0:0:0:0:0:0:0:1 - - [29/Apr/2023:21:19:47 +0900] "GET /controller/resources/images/banner-02.jpg HTTP/1.1" 200 129601
0:0:0:0:0:0:0:1 - - [29/Apr/2023:21:19:47 +0900] "GET /controller/resources/images/product-01.jpg HTTP/1.1" 200 137393
0:0:0:0:0:0:0:1 - - [29/Apr/2023:21:19:47 +0900] "GET /controller/resources/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 200 31004
